MSW_TAXON	TAXON	ORDER	FAMILY	HYP	LOP	FCT_HOD	FCT_AL	FCT_OL	FCT_SF	FCT_OT	FCT_CM	MASS_KG	H2O_DEP	WILD	TAXON_Kari	ORDER_Kari	FAMILY_Kari	LENGTH_MM	MASS_G	DIET_CLUSTER	FO_CP	FO_EE	FO_CF	FO_ASH	FO_NFE	DIET_CLU	DIET_EIS	flag_false_composition	diet_cat1	diet_eis1	TAXON_OLD1	TAXON_OLD2	last_checked	last_update
Eulemur rubriventer	Eulemur rubriventer	Primates	Lemuridae	1	0	1	1	1	0	0	0	NA	NA	NA	Eulemur rubriventer	Primates	Lemuridae	375	1960	F2	10.605	6.359	15.942	6.7	60.395	12.Frugivore-Herbivore		0	F	NA	NA	NA	Berlin2016June	Berlin2016June
Eulemur rufus	Eulemur rufus	Primates	Lemuridae	1	NA	1	1	1	0	0	0	NA	NA	NA	Eulemur rufus	Primates	Lemuridae	375	2206	F2	12.134	6.527	16.205	7.567	57.568	12.Frugivore-Herbivore		0	F	NA	NA	NA	Berlin2016June	Berlin2016June
Eulemur sanfordi	Eulemur sanfordi	Primates	Lemuridae	1	NA	1	1	1	0	0	0	NA	NA	NA	Eulemur sanfordi	Primates	Lemuridae	375	2394.03	F2	12.134	6.527	16.205	7.567	57.568	12.Frugivore-Herbivore		0	F	NA	NA	NA	NA	Espoo2016July
Hapalemur alaotrensis	Hapalemur alaotrensis	Primates	Lemuridae	1	NA	1	1	1	0	0	0	NA	NA	NA	Hapalemur alaotrensis	Primates	Lemuridae	359	1616.83	H11	13.218	3.061	27.432	8.403	47.886	14.Herbivore-Grazer	Herbivore-browser	0	H	Herbivore	NA	NA	NA	Espoo2016July
Hapalemur aureus	Hapalemur aureus	Primates	Lemuridae	1	0	1	1	1	0	0	0	NA	NA	NA	Hapalemur aureus	Primates	Lemuridae	359	1455	H11	13.218	3.061	27.432	8.403	47.886	14.Herbivore-Grazer	Herbivore-browser	0	H	Herbivore	NA	NA	Berlin2016June	Berlin2016June
Hapalemur griseus	Hapalemur griseus	Primates	Lemuridae	1	0	1	1	0	0	0	0	NA	NA	NA	Hapalemur griseus	Primates	Lemuridae	359	1202.71	H11	13.218	3.061	27.432	8.403	47.886	14.Herbivore-Grazer	Herbivore-browser	0	H	Herbivore	NA	NA	Berlin2016June	Berlin2016June
Hapalemur occidentalis	Hapalemur occidentalis	Primates	Lemuridae	1	NA	1	1	1	0	0	0	NA	NA	NA	Hapalemur occidentalis	Primates	Lemuridae	359	1750	H11	13.218	3.061	27.432	8.403	47.886	14.Herbivore-Grazer	Herbivore-browser	0	H	Herbivore	NA	NA	Berlin2016June	Berlin2016June
Lemur catta	Lemur catta	Primates	Lemuridae	1	0	1	0	0	0	0	0	NA	NA	NA	Lemur catta	Primates	Lemuridae	420	2300	H4	13.14	5.506	17.326	10.26	53.768	12.Herbivore-Frugivore	Herbivore-browser	0	H	Herbivore	NA	NA	Berlin2016June	NA
Prolemur simus	Prolemur simus	Primates	Lemuridae	1	0	1	0	0	0	0	0	NA	NA	NA	Prolemur simus	Primates	Lemuridae	NA	1725		NA	NA	NA	NA	NA			0		NA	NA	NA	NA	NA
Varecia rubra	Varecia rubra	Primates	Lemuridae	1	NA	1	1	1	0	0	0	NA	NA	NA	Varecia rubra	Primates	Lemuridae	NA	3872.6	F2	9.577	5.583	14.744	5.689	64.409	12.Frugivore-Herbivore	Frugivore-granivore	0	F	Frugivore	NA	NA	Berlin2016June	NA
Varecia variegata	Varecia variegata	Primates	Lemuridae	1	1	1	1	1	0	0	0	NA	NA	NA	Varecia variegata	Primates	Lemuridae	535	3431.43	F2	9.577	5.583	14.744	5.689	64.409	12.Frugivore-Herbivore	Frugivore-granivore	0	F	Frugivore	NA	NA	Berlin2016June	NA
Lepilemur ankaranensis	Lepilemur ankaranensis	Primates	Lepilemuridae	1	NA	1	1	1	0	0	0	NA	NA	NA	Lepilemur ankaranensis	Primates	Lepilemuridae	325	700	F2	10.528	5.264	19.084	7.325	57.8	12.Frugivore-Herbivore	Herbivore-browser	0	F	Herbivore	NA	NA	NA	Espoo2016July
Arctocebus calabarensis	Arctocebus calabarensis	Primates	Loridae	1	0	1	0	0	0	0	0	NA	NA	NA	Arctocebus calabarensis	Primates	Lorisidae	267	309	A5	43.729	13.391	10.195	5.799	26.887	7.8.Insectivore-Invertivore-Carnivore	Frugivore-omnivore	0	A	Frugivore	NA	NA	NA	NA
Loris lydekkerianus	Loris lydekkerianus	Primates	Loridae	1	NA	1	0	0	0	0	0	NA	NA	NA	Loris lydekkerianus	Primates	Lorisidae	219.5	254.06	A3	51.189	14.276	6.785	6.606	21.144	7.8.Insectivore-Invertivore-Carnivore		0	A	NA	NA	NA	NA	NA
Loris tardigradus	Loris tardigradus	Primates	Loridae	1	0	1	0	0	0	0	0	NA	NA	NA	Loris tardigradus	Primates	Lorisidae	219.5	237	F1	38.471	10.688	11.022	8.833	30.985	9.Insectivore-Omnivore	Insectivore	0	F	Insectivore	NA	NA	NA	NA
Nycticebus bengalensis	Nycticebus bengalensis	Primates	Loridae	1	NA	1	0	0	0	0	0	NA	NA	NA	Nycticebus bengalensis	Primates	Lorisidae	NA	1137.36	F1	34.355	10.741	8.15	6.268	40.486	9.Insectivore-Omnivore		0	F	NA	NA	NA	NA	NA
Nycticebus coucang	Nycticebus coucang	Primates	Loridae	1	0	1	0	0	0	0	0	NA	NA	NA	Nycticebus coucang	Primates	Lorisidae	322.5	966.2	F1	34.355	10.741	8.15	6.268	40.486	4.Gumivore	Insectivore	1	F	Insectivore	NA	NA	Berlin2016June	NA
Nycticebus pygmaeus	Nycticebus pygmaeus	Primates	Loridae	1	0	1	0	0	0	0	0	NA	NA	NA	Nycticebus pygmaeus	Primates	Lorisidae	195	307	F1	22.682	6.722	9.633	7.217	53.745	9.Insectivore-Omnivore		0	F	NA	NA	NA	Berlin2016June	NA
Arctocebus aureus	Arctocebus aureus	Primates	Lorisidae	1	0	1	0	0	0	0	0	NA	NA	NA	Arctocebus aureus	Primates	Lorisidae	267	210	A3	46.738	11.94	9.15	7.498	24.673	7.8.Insectivore-Invertivore-Carnivore		0	A	NA	NA	NA	NA	NA
Perodicticus potto	Perodicticus potto	Primates	Lorisidae	1	0	1	0	0	0	0	0	1.1	NA	W	Perodicticus potto	Primates	Lorisidae	347.5	1054	F1	25.03	9.149	7.739	4.867	53.215	4.Gumivore	Frugivore-granivore	1	F	Frugivore	NA	NA	NA	NA
Lepilemur dorsalis	Lepilemur dorsalis	Primates	Megaladapidae	1	1	1	1	1	0	0	0	NA	NA	NA	Lepilemur dorsalis	Primates	Lepilemuridae	325	500	H4	7.729	4.058	26.563	7.037	54.613	12.Herbivore-Frugivore	Herbivore-browser	0	H	Herbivore	NA	NA	NA	Espoo2016July
Lepilemur edwardsi	Lepilemur edwardsi	Primates	Megaladapidae	1	1	1	1	1	0	0	0	NA	NA	NA	Lepilemur edwardsi	Primates	Lepilemuridae	325	921	H4	11.428	5.582	17.566	8.148	57.276	12.Herbivore-Frugivore	Herbivore-browser	0	H	Herbivore	NA	NA	NA	Espoo2016July
Lepilemur leucopus	Lepilemur leucopus	Primates	Megaladapidae	1	1	1	1	1	0	0	0	NA	NA	NA	Lepilemur leucopus	Primates	Lepilemuridae	325	606	H4	12.581	5.606	20.711	8.147	52.956	12.Herbivore-Frugivore	Herbivore-browser	0	H	Herbivore	NA	NA	Berlin2016June	Berlin2016June
Lepilemur microdon	Lepilemur microdon	Primates	Megaladapidae	1	1	1	1	1	0	0	0	NA	NA	NA	Lepilemur microdon	Primates	Lepilemuridae	325	970	F2	10.528	5.264	19.084	7.325	57.8	12.Frugivore-Herbivore	Herbivore-browser	0	F	Herbivore	NA	NA	NA	Espoo2016July
Lepilemur mustelinus	Lepilemur mustelinus	Primates	Megaladapidae	1	1	1	1	1	0	0	0	NA	NA	NA	Lepilemur mustelinus	Primates	Lepilemuridae	325	650	F2	10.528	5.264	19.084	7.325	57.8	12.Frugivore-Herbivore	Herbivore-browser	0	F	Herbivore	NA	NA	Berlin2016June	Berlin2016June
Lepilemur ruficaudatus	Lepilemur ruficaudatus	Primates	Megaladapidae	1	1	1	1	1	0	0	0	NA	NA	NA	Lepilemur ruficaudatus	Primates	Lepilemuridae	325	770	F14	8.013	3.758	16.989	6.144	65.096	12.Frugivore-Herbivore	Herbivore-browser	0	F	Herbivore	NA	NA	Berlin2016June	Berlin2016June
Lepilemur septentrionalis	Lepilemur septentrionalis	Primates	Megaladapidae	1	1	1	1	1	0	0	0	NA	NA	NA	Lepilemur septentrionalis	Primates	Lepilemuridae	325	750	F2	10.528	5.264	19.084	7.325	57.8	12.Frugivore-Herbivore	Herbivore-browser	0	F	Herbivore	NA	NA	NA	Espoo2016July
Callicebus bernhardi	Callicebus bernhardi	Primates	Pitheciidae	1	NA	1	0	0	0	0	0	NA	NA	NA	Callicebus bernhardi	Primates	Pitheciidae	425	950	F2	26.098	8.528	13.823	9.885	41.665	12.Frugivore-Herbivore	Frugivore-herbivore	0	F	Frugivore	NA	NA	NA	NA
Callicebus caligatus	Callicebus caligatus	Primates	Pitheciidae	1	0	1	0	0	0	0	0	NA	NA	NA	Callicebus caligatus	Primates	Pitheciidae	425	880	F2	26.098	8.528	13.823	9.885	41.665	12.Frugivore-Herbivore	Frugivore-herbivore	0	F	Frugivore	NA	NA	NA	NA
Callicebus discolor	Callicebus discolor	Primates	Pitheciidae	1	NA	1	0	0	0	0	0	NA	NA	NA	Callicebus discolor	Primates	Pitheciidae	425	NA	F2	7.998	5.564	17.174	5.338	63.927	12.Frugivore-Herbivore		0	F	NA	NA	NA	NA	NA
Callicebus dubius	Callicebus dubius	Primates	Pitheciidae	1	0	1	0	0	0	0	0	NA	NA	NA	Callicebus dubius	Primates	Pitheciidae	425	1000	F2	26.098	8.528	13.823	9.885	41.665	12.Frugivore-Herbivore	Frugivore-herbivore	0	F	Frugivore	NA	NA	NA	NA
Callicebus lucifer	Callicebus lucifer	Primates	Pitheciidae	1	NA	1	0	0	0	0	0	NA	NA	NA	Callicebus lucifer	Primates	Pitheciidae	425	1500	F2	20.049	8.73	13.534	4.754	52.932	12.Frugivore-Herbivore	Frugivore-granivore	0	F	Frugivore	NA	NA	NA	NA
Callicebus lugens	Callicebus lugens	Primates	Pitheciidae	1	NA	1	0	0	0	0	0	NA	NA	NA	Callicebus lugens	Primates	Pitheciidae	425	1400	F2	20.049	8.73	13.534	4.754	52.932	12.Frugivore-Herbivore	Frugivore-granivore	0	F	Frugivore	NA	NA	NA	NA
Callicebus pallescens	Callicebus pallescens	Primates	Pitheciidae	1	NA	1	0	0	0	0	0	NA	NA	NA	Callicebus pallescens	Primates	Pitheciidae	425	1000	F2	26.098	8.528	13.823	9.885	41.665	12.Frugivore-Herbivore	Frugivore-herbivore	0	F	Frugivore	NA	NA	NA	NA
Callicebus purinus	Callicebus purinus	Primates	Pitheciidae	1	NA	1	0	0	0	0	0	NA	NA	NA	Callicebus purinus	Primates	Pitheciidae	425	1300	F2	20.049	8.73	13.534	4.754	52.932	12.Frugivore-Herbivore	Frugivore-granivore	0	F	Frugivore	NA	NA	NA	NA
Callicebus regulus	Callicebus regulus	Primates	Pitheciidae	1	NA	1	0	0	0	0	0	NA	NA	NA	Callicebus regulus	Primates	Pitheciidae	425	1300	F2	20.049	8.73	13.534	4.754	52.932	12.Frugivore-Herbivore	Frugivore-granivore	0	F	Frugivore	NA	NA	NA	NA
Callicebus stephennashi	Callicebus stephennashi	Primates	Pitheciidae	1	NA	1	0	0	0	0	0	NA	NA	NA	Callicebus stephennashi	Primates	Pitheciidae	425	725	F2	26.098	8.528	13.823	9.885	41.665	12.Frugivore-Herbivore	Frugivore-herbivore	0	F	Frugivore	NA	NA	NA	NA
Chiropotes chiropotes	Chiropotes chiropotes	Primates	Pitheciidae	1	NA	1	0	0	0	0	0	NA	NA	NA	Chiropotes chiropotes	Primates	Pitheciidae	419	3000	F13	19.741	9.281	13.456	5.083	52.44	11.Frugivore-Granivore	Frugivore-granivore	0	F	Frugivore	NA	NA	NA	NA
Chiropotes israelita	Chiropotes israelita	Primates	Pitheciidae	1	NA	1	0	0	0	0	0	NA	NA	NA	Chiropotes israelita	Primates	Pitheciidae	419	3000	F13	19.741	9.281	13.456	5.083	52.44	11.Frugivore-Granivore		0	F	NA	NA	NA	NA	NA
Chiropotes utahickae	Chiropotes utahickae	Primates	Pitheciidae	1	NA	1	0	0	0	0	0	NA	NA	NA	Chiropotes utahickae	Primates	Pitheciidae	419	2950	F13	19.741	9.281	13.456	5.083	52.44	11.Frugivore-Granivore	Frugivore-granivore	0	F	Frugivore	NA	NA	NA	NA
Tarsius bancanus	Tarsius bancanus	Primates	Tarsiidae	1	0	1	0	0	0	0	0	NA	NA	NA	Tarsius bancanus	Primates	Tarsiidae	300	123	A5	58.3	20.799	5.899	5.597	9.405	7.8.Insectivore-Invertivore-Carnivore	Insectivore	0	A	Insectivore	NA	NA	NA	NA
Tarsius dentatus	Tarsius dentatus	Primates	Tarsiidae	1	0	1	0	0	0	0	0	NA	NA	NA	Tarsius dentatus	Primates	Tarsiidae	122.5	106	A8	49.554	15.998	7.285	4.906	22.257	7.8.Insectivore-Invertivore-Carnivore	Insectivore	0	A	Insectivore	NA	NA	NA	NA
Tarsius pelengensis	Tarsius pelengensis	Primates	Tarsiidae	1	NA	1	0	0	0	0	0	NA	NA	NA	Tarsius pelengensis	Primates	Tarsiidae	122.5	165	A8	50.921	15	9.59	4.59	19.899	7.8.Insectivore-Invertivore-Carnivore	Insectivore	0	A	Insectivore	NA	NA	NA	NA
Tarsius pumilus	Tarsius pumilus	Primates	Tarsiidae	1	0	1	0	0	0	0	0	NA	NA	NA	Tarsius pumilus	Primates	Tarsiidae	122.5	122.5	A5	53.816	14.843	8.984	4.499	17.857	7.8.Insectivore-Invertivore-Carnivore	Insectivore	0	A	Insectivore	NA	NA	NA	NA
Tarsius sangirensis	Tarsius sangirensis	Primates	Tarsiidae	1	NA	1	0	0	0	0	0	NA	NA	NA	Tarsius sangirensis	Primates	Tarsiidae	122.5	165	A8	50.921	15	9.59	4.59	19.899	7.8.Insectivore-Invertivore-Carnivore	Insectivore	0	A	Insectivore	NA	NA	NA	NA
Tarsius syrichta	Tarsius syrichta	Primates	Tarsiidae	1	0	1	0	0	0	0	0	NA	NA	NA	Tarsius syrichta	Primates	Tarsiidae	122.5	113	A3	62.516	10.44	3.912	14.016	9.116	7.8.Insectivore-Invertivore-Carnivore	Insectivore	0	A	Insectivore	NA	NA	NA	NA
Tarsius tarsier	Tarsius tarsier	Primates	Tarsiidae	1	0	1	0	0	0	0	0	NA	NA	NA	Tarsius tarsier	Primates	Tarsiidae	122.5	179.6	A8	50.921	15	9.59	4.59	19.899	7.8.Insectivore-Invertivore-Carnivore	Insectivore	0	A	Insectivore	NA	NA	NA	NA
Elephas maximus	Elephas maximus	Proboscidea	Elephantidae	3	0	3	0	1	0	1	1	NA	NA	NA	Elephas maximus	Proboscidea	Elephantidae	5950	3178000	H1	9.308	2.869	26.274	12.611	48.938	13.14.MF	Herbivore-browser	0	H	Herbivore	NA	NA	NA	NA
Loxodonta africana	Loxodonta africana	Proboscidea	Elephantidae	3	0	3	0	1	0	1	1	3940	H	W	Loxodonta africana	Proboscidea	Elephantidae	6750	3507000	H1	8.163	2.927	31.479	9.8	47.631	13.14.MF	Herbivore-Mixed-Feeder	0	H	Herbivore	NA	NA	NA	NA
Loxodonta cyclotis	Loxodonta cyclotis	Proboscidea	Elephantidae	3	NA	3	0	1	0	1	1	NA	NA	NA	Loxodonta cyclotis	Proboscidea	Elephantidae	6750	4750000.01	H1	8.163	2.927	31.479	9.8	47.631	13.14.MF	Herbivore-Mixed-Feeder	0	H	Herbivore	NA	NA	NA	NA
