ID,MEAN_HYP:1,MEAN_HYP:2,MEAN_HYP:3,MEAN_FCT_HOD:1,MEAN_FCT_HOD:2,MEAN_FCT_HOD:3,MEAN_FCT_AL,MEAN_FCT_OL,MEAN_FCT_SF,MEAN_FCT_OT,MEAN_FCT_CM,NB_SPC,folds_split_C
enabled_col,T,T,T,T,T,T,T,T,T,T,T,F,F
99869,0.917,0.083,0.000,1.000,0.000,0.000,0.167,0.333,0.333,0.000,0.000,12,F:EU
99870,0.917,0.083,0.000,1.000,0.000,0.000,0.167,0.333,0.333,0.000,0.000,12,F:EU
99883,0.929,0.071,0.000,1.000,0.000,0.000,0.286,0.357,0.143,0.000,0.000,14,F:EU
99884,0.933,0.067,0.000,1.000,0.000,0.000,0.267,0.333,0.200,0.000,0.000,15,F:EU
99885,0.929,0.071,0.000,1.000,0.000,0.000,0.286,0.357,0.214,0.000,0.000,14,F:EU
99886,0.933,0.067,0.000,1.000,0.000,0.000,0.267,0.333,0.200,0.000,0.000,15,F:EU
99887,0.933,0.067,0.000,1.000,0.000,0.000,0.267,0.333,0.200,0.000,0.000,15,F:EU
99888,0.923,0.077,0.000,1.000,0.000,0.000,0.231,0.385,0.231,0.000,0.000,13,F:EU
99889,0.917,0.083,0.000,1.000,0.000,0.000,0.250,0.417,0.167,0.000,0.000,12,F:EU
99890,0.917,0.083,0.000,1.000,0.000,0.000,0.250,0.417,0.167,0.000,0.000,12,F:EU
99891,0.929,0.071,0.000,1.000,0.000,0.000,0.214,0.357,0.214,0.000,0.000,14,F:EU
99892,0.923,0.077,0.000,1.000,0.000,0.000,0.231,0.385,0.231,0.000,0.000,13,F:EU
99893,0.923,0.077,0.000,1.000,0.000,0.000,0.231,0.385,0.154,0.000,0.000,13,F:EU
99894,0.923,0.077,0.000,1.000,0.000,0.000,0.308,0.385,0.154,0.000,0.000,13,F:EU
99895,0.929,0.071,0.000,1.000,0.000,0.000,0.286,0.357,0.214,0.000,0.000,14,F:EU
99896,0.929,0.071,0.000,1.000,0.000,0.000,0.286,0.357,0.214,0.000,0.000,14,F:EU
99908,0.667,0.000,0.333,1.000,0.000,0.000,0.000,0.333,0.167,0.333,0.333,6,F:EU
99909,0.667,0.000,0.333,1.000,0.000,0.000,0.000,0.333,0.167,0.333,0.333,6,F:EU
100664,0.923,0.077,0.000,1.000,0.000,0.000,0.154,0.308,0.308,0.000,0.000,13,F:EU
100665,0.867,0.067,0.067,1.000,0.000,0.000,0.200,0.333,0.267,0.000,0.000,15,F:EU
100666,0.923,0.077,0.000,1.000,0.000,0.000,0.154,0.308,0.308,0.000,0.000,13,F:EU
100667,0.867,0.067,0.067,0.933,0.000,0.067,0.200,0.333,0.267,0.067,0.067,15,F:EU
